# Large US caps
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
BRK.B
JPM
V
WMT
UNH
XOM
LLY
AVGO
MA
HD
PG
ORCL
COST
NFLX
PEP
KO
DIS

# Index & sector ETFs
SPY
QQQ
DIA
IWM
VT
VEA
EEM
XLK
XLF
XLY
XLI
XLE
XLP
XLV
XLU
XLB
XLC
XBI
SMH
SOXX
ARKK
